,0
0,0.069
1,0.024
2,0.086
3,0.139
4,0.051
5,0.139
6,0.092
7,0.049
8,0.08
9,0.094
10,0.117
11,0.115
12,0.158
13,0.08
14,0.152
15,0.03
16,0.178
17,0.104
18,0.136
19,0.178
20,0.121
21,0.062
22,0.111
23,0.249
24,0.138
25,0.086
26,0.038
27,0.054
28,0.107
29,0.112
30,0.046
31,0.046
32,0.161
33,0.063
34,0.174
35,0.049
36,0.147
37,0.036
38,0.153
39,0.091
40,0.145
41,0.13
42,0.103
43,0.061
44,0.033
45,0.079
46,0.076
47,0.068
48,0.082
49,0.222
50,0.108
51,0.08
52,0.054
53,0.051
54,0.098
55,0.063
56,0.044
57,0.058
58,0.063
59,0.013
60,0.072
61,0.107
62,0.092
63,0.133
64,0.139
65,0.045
66,0.058
67,0.079
68,0.091
69,0.084
70,0.076
71,0.048
72,0.141
73,0.124
74,0.07
75,0.029
76,0.091
77,0.05
78,0.008
79,0.078
80,0.201
81,0.055
82,0.032
83,0.016
84,0.024
85,0.041
86,0.182
87,0.138
88,0.085
89,0.103
90,0.053
91,0.098
92,0.065
93,0.051
94,0.081
95,0.046
96,0.099
97,0.084
98,0.17
99,0.026
100,0.024
101,0.027
102,0.059
103,0.078
104,0.133
105,0.114
106,0.067
107,0.142
108,0.028
109,0.034
110,0.255
111,0.017
112,0.043
113,0.023
114,0.114
115,0.12
116,0.135
117,0.054
118,0.065
119,0.095
120,0.155
121,0.089
122,0.185
123,0.115
124,0.054
125,0.138
126,0.048
127,0.078
128,0.101
129,0.132
130,0.241
131,0.042
132,0.118
133,0.161
134,0.037
135,0.058
136,0.077
137,0.09
138,0.08
139,0.025
140,0.082
141,0.037
142,0.036
143,0.047
144,0.13
145,0.121
146,0.125
147,0.04
148,0.088
149,0.048
150,0.082
151,0.083
152,0.095
153,0.084
154,0.163
155,0.048
156,0.119
157,0.098
158,0.036
159,0.11
160,0.131
161,0.074
162,0.088
163,0.172
164,0.065
165,0.156
166,0.102
167,0.028
168,0.026
169,0.033
170,0.021
171,0.022
172,0.083
173,0.163
174,0.081
175,0.244
176,0.181
177,0.077
178,0.028
179,0.169
180,0.032
181,0.288
182,0.1
183,0.022
184,0.056
185,0.035
186,0.049
187,0.101
188,0.107
189,0.084
190,0.051
191,0.079
192,0.171
193,0.124
194,0.085
195,0.073
196,0.036
197,0.024
198,0.058
199,0.015
200,0.074
201,0.076
202,0.083
203,0.061
204,0.163
205,0.125
206,0.082
207,0.054
208,0.055
209,0.047
210,0.062
211,0.11
212,0.049
213,0.091
214,0.055
215,0.089
216,0.096
217,0.042
218,0.154
219,0.077
220,0.07
221,0.074
222,0.09
223,0.147
224,0.036
225,0.102
226,0.093
227,0.112
228,0.068
229,0.032
230,0.011
231,0.098
232,0.027
233,0.082
234,0.163
235,0.031
236,0.029
237,0.121
238,0.019
239,0.079
240,0.067
241,0.022
242,0.058
243,0.038
244,0.165
245,0.181
246,0.062
247,0.087
248,0.087
249,0.126
250,0.153
251,0.247
252,0.042
253,0.069
254,0.08
255,0.05
256,0.065
257,0.089
258,0.055
259,0.027
260,0.214
261,0.095
262,0.091
263,0.129
264,0.034
265,0.114
266,0.047
267,0.057
268,0.066
269,0.151
270,0.014
271,0.11
272,0.144
273,0.193
274,0.06
275,0.038
276,0.09
277,0.201
278,0.144
279,0.054
280,0.089
281,0.12
282,0.079
283,0.181
284,0.075
285,0.072
286,0.067
287,0.076
288,0.062
289,0.077
290,0.069
291,0.06
292,0.163
293,0.073
294,0.039
295,0.171
296,0.09
297,0.116
298,0.048
299,0.083
300,0.118
301,0.039
302,0.096
303,0.061
304,0.211
305,0.103
306,0.153
307,0.078
308,0.052
309,0.085
310,0.233
311,0.049
312,0.017
313,0.143
314,0.04
315,0.061
316,0.08
317,0.111
318,0.072
319,0.288
320,0.041
321,0.015
322,0.098
323,0.038
324,0.03
325,0.067
326,0.069
327,0.059
328,0.144
329,0.041
330,0.094
331,0.071
332,0.038
333,0.079
334,0.052
335,0.068
336,0.272
337,0.08
338,0.176
339,0.036
340,0.085
341,0.028
342,0.096
343,0.123
344,0.071
345,0.055
346,0.054
347,0.223
348,0.108
349,0.046
350,0.129
351,0.114
352,0.094
353,0.067
354,0.028
355,0.069
356,0.1
357,0.086
358,0.053
359,0.118
360,0.06
361,0.044
362,0.122
363,0.09
364,0.06
365,0.077
366,0.046
367,0.047
368,0.119
369,0.086
370,0.06
371,0.069
372,0.13
373,0.119
374,0.13
375,0.024
376,0.047
377,0.051
378,0.052
379,0.041
380,0.09
381,0.047
382,0.054
383,0.096
384,0.077
385,0.074
386,0.076
387,0.211
388,0.15
389,0.146
390,0.072
391,0.021
392,0.064
393,0.068
394,0.113
395,0.198
396,0.028
397,0.197
398,0.12
399,0.092
400,0.11
401,0.092
402,0.039
403,0.137
404,0.087
405,0.1
406,0.106
407,0.098
408,0.085
409,0.066
410,0.049
