,0
0,0.143
1,0.124
2,0.142
3,0.134
4,0.109
5,0.13
6,0.13
7,0.129
8,0.13
9,0.14
10,0.136
11,0.138
12,0.142
13,0.134
14,0.129
15,0.136
16,0.129
17,0.128
18,0.126
19,0.127
20,0.141
21,0.12
22,0.132
23,0.148
24,0.148
25,0.112
26,0.133
27,0.133
28,0.127
29,0.145
30,0.128
31,0.126
32,0.14
33,0.122
34,0.135
35,0.141
36,0.118
37,0.126
38,0.127
39,0.14
40,0.13
41,0.137
42,0.128
43,0.141
44,0.134
45,0.14
46,0.136
47,0.124
48,0.142
49,0.128
50,0.149
51,0.127
52,0.136
53,0.135
54,0.14
55,0.122
56,0.138
57,0.137
58,0.124
59,0.135
60,0.152
61,0.14
62,0.14
63,0.128
64,0.125
65,0.13
66,0.149
67,0.118
68,0.132
69,0.149
70,0.107
71,0.14
72,0.137
73,0.144
74,0.143
75,0.119
76,0.126
77,0.123
78,0.152
79,0.131
80,0.135
81,0.155
82,0.137
83,0.134
84,0.125
85,0.143
86,0.127
87,0.149
88,0.149
89,0.144
90,0.136
91,0.139
92,0.134
93,0.133
94,0.129
95,0.158
96,0.141
97,0.131
98,0.16
99,0.129
100,0.118
101,0.131
102,0.127
103,0.146
104,0.118
105,0.13
106,0.148
107,0.132
108,0.138
109,0.131
110,0.148
111,0.125
112,0.126
113,0.134
114,0.139
115,0.146
116,0.121
117,0.138
118,0.142
119,0.136
120,0.128
121,0.153
122,0.149
123,0.132
124,0.13
125,0.125
126,0.13
127,0.122
128,0.123
129,0.129
130,0.123
131,0.147
132,0.134
133,0.141
134,0.133
135,0.13
136,0.125
137,0.117
138,0.129
139,0.113
140,0.147
141,0.15
142,0.136
143,0.118
144,0.13
145,0.13
146,0.151
147,0.135
148,0.14
149,0.14
150,0.144
151,0.136
152,0.14
153,0.135
154,0.134
155,0.13
156,0.143
157,0.132
158,0.136
159,0.143
160,0.139
161,0.126
162,0.144
163,0.148
164,0.143
165,0.139
166,0.138
167,0.136
168,0.112
169,0.133
170,0.129
171,0.117
172,0.122
173,0.138
174,0.136
175,0.111
176,0.135
177,0.136
178,0.137
179,0.146
180,0.127
181,0.122
182,0.15
183,0.138
184,0.125
185,0.137
186,0.125
187,0.144
188,0.136
189,0.136
190,0.135
191,0.131
192,0.14
193,0.132
194,0.131
195,0.129
196,0.126
197,0.144
198,0.127
199,0.144
200,0.129
201,0.135
202,0.135
203,0.151
204,0.15
205,0.136
206,0.134
207,0.133
208,0.122
209,0.138
210,0.141
211,0.13
212,0.141
213,0.13
214,0.137
215,0.132
216,0.125
217,0.125
218,0.151
219,0.135
220,0.133
221,0.151
222,0.114
223,0.145
224,0.129
225,0.146
226,0.146
227,0.124
228,0.141
229,0.108
230,0.126
231,0.126
232,0.132
233,0.132
234,0.125
235,0.139
236,0.119
237,0.144
238,0.123
239,0.141
240,0.142
241,0.121
242,0.123
243,0.123
244,0.141
245,0.137
246,0.139
247,0.139
248,0.146
249,0.116
250,0.125
251,0.123
252,0.122
253,0.114
254,0.136
255,0.135
256,0.147
257,0.139
258,0.136
259,0.105
260,0.137
261,0.146
262,0.137
263,0.141
264,0.119
265,0.132
266,0.14
267,0.148
268,0.148
269,0.139
270,0.136
271,0.13
272,0.13
273,0.141
274,0.15
275,0.152
276,0.132
277,0.146
278,0.131
279,0.146
280,0.141
281,0.135
282,0.13
283,0.124
284,0.127
285,0.12
286,0.141
287,0.12
288,0.111
289,0.114
290,0.153
291,0.131
292,0.119
293,0.135
294,0.138
295,0.146
296,0.143
297,0.139
298,0.123
299,0.092
300,0.125
301,0.132
302,0.126
303,0.123
304,0.153
305,0.149
306,0.128
307,0.141
308,0.125
309,0.12
310,0.136
311,0.139
312,0.149
313,0.148
314,0.143
315,0.137
316,0.13
317,0.129
318,0.126
319,0.141
320,0.135
321,0.152
322,0.132
323,0.125
324,0.121
325,0.127
326,0.145
327,0.135
328,0.139
329,0.123
330,0.121
331,0.112
332,0.147
333,0.125
334,0.138
335,0.135
336,0.128
337,0.145
338,0.129
339,0.12
340,0.127
341,0.136
342,0.126
343,0.135
344,0.123
345,0.125
346,0.123
347,0.143
348,0.123
349,0.131
350,0.138
351,0.127
352,0.146
353,0.147
354,0.127
355,0.148
356,0.139
357,0.124
358,0.137
359,0.15
360,0.139
361,0.118
362,0.139
363,0.128
364,0.157
365,0.121
366,0.132
367,0.126
368,0.162
369,0.134
370,0.126
371,0.128
372,0.145
